Date,Open,High,Low,Close,Volume,MACD,MACDAvg,MACDDiff,RSI,SlowK,SlowD,FastAvg,SlowAvg,DistF,DistS,FGS,FLS,OpenBar
9/2/1999,2975,2978,2923.5,2961.5,3404,-1.116809,-0.223362,-0.893447,68.4,72.06,74.92,2964.65,2896.8,3.15,64.7,2,0,1
9/3/1999,2965,3074.5,2957.5,3074,2633,6.995284,1.220367,5.774917,75.17,79.61,76.01,2982.95,2902.69,91.05,171.31,3,0,1
9/7/1999,3109.5,3109.5,3058.5,3062.5,3398,12.353815,3.447057,8.906758,73.44,81.91,77.86,2993.1,2908.42,69.4,154.08,4,0,1
9/8/1999,3055.5,3067,3017,3028.5,18,13.69906,5.497458,8.201602,68.42,83.13,81.55,2998.15,2912.49,30.35,116.01,5,0,1
9/9/1999,3003,3069,3003,3065.5,2263,17.548479,7.907662,9.640817,70.76,78.41,81.15,3001.5,2916.69,64,148.81,6,0,1
9/10/1999,3069,3116,3056,3096.5,3070,22.837357,10.893601,11.943756,72.6,81,80.84,3012.1,2920.85,84.4,175.65,7,0,1
9/13/1999,3108.5,3108.5,3049,3059.5,3680,23.769244,13.468729,10.300514,67.18,83.26,80.89,3021.3,2923.9,38.2,135.6,8,0,1
9/14/1999,3060,3092,3040.5,3075,4505,25.464947,15.867973,9.596974,68.25,82.63,82.3,3035.3,2926.64,39.7,148.36,9,0,1
9/15/1999,3075,3110.5,3022,3025,5095,22.514686,17.197316,5.317371,61.31,71.7,79.2,3042.35,2928.59,17.35,96.41,10,0,1
9/16/1999,3024,3044,2973.5,2979.5,5922,16.317021,17.021257,-0.704236,55.75,59.68,71.34,3042.75,2929.7,63.25,49.8,11,0,1
9/17/1999,3028,3105,3023.5,3104,3096,21.206976,17.8584,3.348575,65.08,64.04,65.14,3057,2932.47,47,171.53,12,0,1
9/20/1999,3116,3119,3082,3101,2335,24.557146,19.198149,5.358996,64.72,75.11,66.28,3059.7,2934.91,41.3,166.09,13,0,1
9/21/1999,3109,3109,3034,3042.5,5116,22.235402,19.8056,2.429802,58.09,83.42,74.19,3057.7,2936.42,15.2,106.08,14,0,1
9/22/1999,3041,3079.5,3014,3067.5,5365,22.15728,20.275936,1.881344,59.98,76.3,78.28,3061.6,2938.64,5.9,128.86,15,0,1
9/23/1999,3068,3098,2946.5,2963.5,6163,13.547272,18.930203,-5.382931,49.91,49.69,69.8,3051.4,2937.97,87.9,25.53,16,0,1
9/24/1999,2964,2970.5,2906,2956,5969,6.048864,16.353935,-10.305072,49.26,36.32,54.1,3037.35,2936.8,81.35,19.2,17,0,1
9/27/1999,2958,3017.5,2958,2982,5198,2.179183,13.518985,-11.339801,51.59,23.89,36.63,3029.6,2935.73,47.6,46.27,18,0,1
9/28/1999,2982,3001,2917,2995.5,5805,0.199472,10.855082,-10.65561,52.8,33.72,31.31,3021.65,2935.3,26.15,60.2,19,0,1
9/29/1999,2995,3007.5,2946,2949.5,5981,-5.023373,7.679391,-12.702764,48.36,32.71,30.11,3014.1,2936,64.6,13.5,20,0,1
9/30/1999,2948,2993.5,2936,2969.5,5848,-7.462658,4.650981,-12.113639,50.32,30.75,32.39,3013.1,2936.8,43.6,32.7,21,0,1
10/1/1999,2967.5,2971,2910.5,2965.5,4173,-9.607822,1.799221,-11.407043,49.91,26.06,29.84,2999.25,2938.72,33.75,26.78,22,0,1
10/4/1999,2962.5,3030.5,2955.5,3027,3672,-6.273032,0.18477,-6.457802,55.83,38.18,31.66,2991.85,2941.84,35.15,85.16,23,0,1
10/5/1999,3027,3066.5,2989,3039.5,5343,-2.591667,-0.370517,-2.22115,56.94,49.14,37.79,2991.55,2946.28,47.95,93.22,24,0,1
10/6/1999,3035.5,3090,3032,3086.5,4548,4.071416,0.51787,3.553547,60.93,68.08,51.8,2993.45,2950.65,93.05,135.85,25,0,1
10/7/1999,3086.5,3130,3064,3080,5931,8.726864,2.159668,6.567196,60.1,75.08,64.1,3005.1,2954.26,74.9,125.74,26,0,1
10/8/1999,3081,3111.5,3036,3111.5,5220,14.787664,4.685268,10.102396,62.74,84.72,75.96,3020.65,2959.51,90.85,151.99,27,0,1
10/11/1999,3109,3143,3099,3143,2303,21.880454,8.124305,13.756149,65.23,90,83.27,3036.75,2965.61,106.25,177.39,28,0,1
10/12/1999,3140,3148,3076.5,3090.5,5026,23.000099,11.099464,11.900635,58.26,89.19,87.97,3046.25,2970.71,44.25,119.79,29,0,1
10/13/1999,3063,3085.5,2996.5,3006,6726,16.874463,12.254464,4.62,49.16,72.33,83.84,3051.9,2974.46,45.9,31.54,30,0,1
